Jun 09 22:25:46.367 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3775.792295ms, 74077.655817ms, Xm: 763, a: 1.006460, r: 0.357000
Jun 09 22:38:43.783 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3497.383506ms, 61892.290740ms, Xm: 747, a: 1.042581, r: 0.348000
Jun 09 22:38:50.299 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3505.649616ms, 62311.779977ms, Xm: 747, a: 1.040989, r: 0.348000
Jun 09 22:40:20.397 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3499.494019ms, 63254.323783ms, Xm: 739, a: 1.034958, r: 0.343000
Jun 09 23:25:36.675 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2498.624681ms, 60000.000000ms, Xm: 772, a: 1.370304, r: 0.284000
Jun 09 23:32:54.725 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2513.044057ms, 60000.000000ms, Xm: 771, a: 1.362128, r: 0.283000
Jun 09 23:33:01.484 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2498.661074ms, 60000.000000ms, Xm: 769, a: 1.365760, r: 0.281000
Jun 09 23:33:03.427 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2505.322932ms, 60000.000000ms, Xm: 766, a: 1.358186, r: 0.282000
Jun 09 23:35:41.025 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2496.848146ms, 60000.000000ms, Xm: 791, a: 1.400136, r: 0.285000
Jun 09 23:36:22.747 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2500.127449ms, 60000.000000ms, Xm: 788, a: 1.393937, r: 0.285000
Jun 09 23:36:36.458 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2496.034727ms, 60000.000000ms, Xm: 788, a: 1.395918, r: 0.284000
Jun 09 23:36:46.111 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2504.187889ms, 60000.000000ms, Xm: 797, a: 1.405788, r: 0.286000
Jun 09 23:36:47.835 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2497.158869ms, 60000.000000ms, Xm: 800, a: 1.413900, r: 0.285000
Jun 09 23:36:52.319 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2500.587628ms, 60000.000000ms, Xm: 799, a: 1.410649, r: 0.284000
Jun 10 00:50:54.799 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2497.492701ms, 60000.000000ms, Xm: 787, a: 1.393677, r: 0.283000
Jun 10 00:51:01.472 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2508.584994ms, 60000.000000ms, Xm: 770, a: 1.362679, r: 0.283000
Jun 10 00:56:11.611 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2499.200874ms, 60000.000000ms, Xm: 777, a: 1.377606, r: 0.281000
Jun 10 00:56:12.372 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2500.481354ms, 60000.000000ms, Xm: 777, a: 1.377002, r: 0.281000
Jun 10 00:56:15.178 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2494.112308ms, 60000.000000ms, Xm: 818, a: 1.443668, r: 0.284000
Jun 10 00:56:21.515 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2503.965222ms, 60000.000000ms, Xm: 800, a: 1.410527, r: 0.283000
Jun 10 00:56:21.758 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2499.003753ms, 60000.000000ms, Xm: 800, a: 1.412983, r: 0.282000
Jun 10 00:56:22.620 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2509.894275ms, 60000.000000ms, Xm: 799, a: 1.406071, r: 0.283000
Jun 10 00:56:27.623 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2484.497502ms, 60000.000000ms, Xm: 841, a: 1.485771, r: 0.283000
Jun 10 00:56:34.229 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2502.064851ms, 60000.000000ms, Xm: 842, a: 1.477780, r: 0.284000
Jun 10 00:56:35.694 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2494.381467ms, 60000.000000ms, Xm: 842, a: 1.481965, r: 0.284000
Jun 10 00:56:37.479 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2503.925069ms, 60000.000000ms, Xm: 822, a: 1.444901, r: 0.283000
Jun 10 00:57:08.910 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2496.350494ms, 60000.000000ms, Xm: 820, a: 1.445671, r: 0.284000
Jun 10 00:57:15.444 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2504.582737ms, 60000.000000ms, Xm: 820, a: 1.441408, r: 0.285000
Jun 10 00:58:22.609 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2496.023349ms, 60000.000000ms, Xm: 816, a: 1.439518, r: 0.283000
Jun 10 00:58:28.475 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2502.241193ms, 60000.000000ms, Xm: 814, a: 1.433183, r: 0.283000
Jun 10 00:58:30.711 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2498.671756ms, 60000.000000ms, Xm: 813, a: 1.433436, r: 0.283000
Jun 10 00:58:30.850 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2509.420255ms, 60000.000000ms, Xm: 813, a: 1.427976, r: 0.284000
Jun 10 00:59:13.910 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2496.993627ms, 60000.000000ms, Xm: 812, a: 1.432722, r: 0.283000
Jun 10 00:59:29.791 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2502.181736ms, 60000.000000ms, Xm: 812, a: 1.430080, r: 0.283000
Jun 10 01:13:40.122 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2492.983954ms, 60000.000000ms, Xm: 778, a: 1.382074, r: 0.279000
Jun 10 01:14:12.875 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2502.746970ms, 60000.000000ms, Xm: 773, a: 1.369892, r: 0.279000
Jun 10 01:14:18.102 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2495.002279ms, 60000.000000ms, Xm: 773, a: 1.373515, r: 0.277000
Jun 10 01:14:39.135 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2506.282571ms, 60000.000000ms, Xm: 773, a: 1.368248, r: 0.279000
Jun 10 01:15:57.279 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2499.681270ms, 60000.000000ms, Xm: 772, a: 1.369811, r: 0.281000
Jun 10 01:16:23.884 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2505.261928ms, 60000.000000ms, Xm: 766, a: 1.358214, r: 0.277000
Jun 10 01:16:36.987 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2498.514459ms, 60000.000000ms, Xm: 765, a: 1.359810, r: 0.276000
Jun 10 01:17:18.533 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2501.886048ms, 60000.000000ms, Xm: 770, a: 1.365771, r: 0.277000
Jun 10 01:17:26.521 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2494.854048ms, 60000.000000ms, Xm: 770, a: 1.369041, r: 0.276000
Jun 10 01:40:15.077 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2502.487079ms, 60000.000000ms, Xm: 763, a: 1.354994, r: 0.281000
Jun 10 01:40:32.685 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2490.792765ms, 60000.000000ms, Xm: 785, a: 1.393848, r: 0.281000
Jun 10 02:12:22.795 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2509.031693ms, 60000.000000ms, Xm: 741, a: 1.319588, r: 0.286000
Jun 10 02:13:30.204 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2498.534182ms, 60000.000000ms, Xm: 768, a: 1.364312, r: 0.288000
Jun 10 02:13:31.130 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2505.970462ms, 60000.000000ms, Xm: 768, a: 1.360884, r: 0.288000
Jun 10 02:14:12.304 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2493.665987ms, 60000.000000ms, Xm: 746, a: 1.333659, r: 0.286000
Jun 10 02:14:19.414 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2501.657954ms, 60000.000000ms, Xm: 746, a: 1.330132, r: 0.288000
Jun 10 02:14:36.270 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2493.447786ms, 60000.000000ms, Xm: 746, a: 1.333756, r: 0.287000
Jun 10 02:15:02.334 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2504.698142ms, 60000.000000ms, Xm: 749, a: 1.333216, r: 0.287000
Jun 10 02:15:33.332 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2491.656973ms, 60000.000000ms, Xm: 758, a: 1.352446, r: 0.286000
Jun 10 02:15:42.754 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2500.247454ms, 60000.000000ms, Xm: 758, a: 1.348546, r: 0.288000
Jun 10 02:15:43.239 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2490.893943ms, 60000.000000ms, Xm: 760, a: 1.355797, r: 0.287000
