Jun 06 04:43:10.941 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3998.274083ms, 88992.570696ms, Xm: 755, a: 0.965527, r: 0.348000
Jun 06 05:04:44.976 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3491.283692ms, 60000.000000ms, Xm: 793, a: 1.085843, r: 0.331000
Jun 06 05:05:31.323 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3508.192334ms, 60000.000000ms, Xm: 770, a: 1.061309, r: 0.329000
Jun 06 05:05:57.530 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3489.379070ms, 60000.000000ms, Xm: 775, a: 1.069667, r: 0.328000
Jun 06 05:06:19.836 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3503.351205ms, 60000.000000ms, Xm: 767, a: 1.059546, r: 0.326000
Jun 06 05:06:23.747 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3495.061336ms, 60000.000000ms, Xm: 767, a: 1.061201, r: 0.325000
Jun 06 05:22:40.487 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3505.735218ms, 60000.000000ms, Xm: 796, a: 1.085583, r: 0.324000
Jun 06 05:23:46.434 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3496.581073ms, 60000.000000ms, Xm: 815, a: 1.105115, r: 0.327000
Jun 06 05:24:13.126 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3502.823279ms, 60000.000000ms, Xm: 815, a: 1.103764, r: 0.328000
Jun 06 05:31:16.344 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3480.808330ms, 60000.000000ms, Xm: 818, a: 1.111369, r: 0.328000
Jun 06 06:26:37.140 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3502.457955ms, 60000.000000ms, Xm: 789, a: 1.079831, r: 0.323000
Jun 06 06:26:40.193 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3497.897603ms, 60000.000000ms, Xm: 790, a: 1.081696, r: 0.323000
Jun 06 06:26:47.552 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3500.743708ms, 60000.000000ms, Xm: 790, a: 1.081105, r: 0.323000
Jun 06 06:27:18.471 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3496.460767ms, 60000.000000ms, Xm: 791, a: 1.082915, r: 0.322000
Jun 06 06:27:25.751 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3507.855065ms, 60000.000000ms, Xm: 791, a: 1.080550, r: 0.323000
Jun 06 06:27:35.538 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3498.536828ms, 60000.000000ms, Xm: 791, a: 1.082483, r: 0.322000
Jun 06 06:27:35.932 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3502.040470ms, 60000.000000ms, Xm: 791, a: 1.081755, r: 0.322000
Jun 06 06:27:42.839 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3491.066045ms, 60000.000000ms, Xm: 791, a: 1.084042, r: 0.321000
Jun 06 06:27:58.237 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3507.865197ms, 60000.000000ms, Xm: 781, a: 1.071396, r: 0.321000
Jun 06 06:28:20.248 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3488.288028ms, 60000.000000ms, Xm: 797, a: 1.090175, r: 0.321000
Jun 06 06:28:30.060 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3505.196144ms, 60000.000000ms, Xm: 797, a: 1.086616, r: 0.323000
Jun 06 06:33:51.522 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3478.787762ms, 60000.000000ms, Xm: 820, a: 1.113694, r: 0.325000
Jun 06 06:34:30.278 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3504.489900ms, 60000.000000ms, Xm: 822, a: 1.109911, r: 0.325000
Jun 06 06:36:40.769 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3489.036483ms, 60000.000000ms, Xm: 822, a: 1.113304, r: 0.324000
Jun 06 06:36:44.143 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3518.765649ms, 60000.000000ms, Xm: 800, a: 1.086538, r: 0.324000
Jun 06 06:57:37.972 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3491.049987ms, 60000.000000ms, Xm: 759, a: 1.054708, r: 0.324000
Jun 06 11:54:15.131 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2495.091170ms, 60000.000000ms, Xm: 690, a: 1.252102, r: 0.299000
Jun 06 11:55:11.593 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2513.981503ms, 60000.000000ms, Xm: 667, a: 1.212992, r: 0.294000
Jun 06 11:55:42.849 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2498.660263ms, 60000.000000ms, Xm: 667, a: 1.218607, r: 0.296000
Jun 06 11:55:44.116 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2503.245439ms, 60000.000000ms, Xm: 667, a: 1.216917, r: 0.296000
Jun 06 11:56:15.470 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2497.378473ms, 60000.000000ms, Xm: 666, a: 1.217696, r: 0.294000
Jun 06 11:56:48.858 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2500.224648ms, 60000.000000ms, Xm: 666, a: 1.216648, r: 0.297000
Jun 06 11:56:50.800 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2498.967284ms, 60000.000000ms, Xm: 666, a: 1.217111, r: 0.297000
Jun 06 11:56:51.425 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2504.115602ms, 60000.000000ms, Xm: 666, a: 1.215219, r: 0.297000
Jun 06 11:58:17.197 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2496.354850ms, 60000.000000ms, Xm: 645, a: 1.189237, r: 0.294000
Jun 06 11:58:22.724 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2501.047211ms, 60000.000000ms, Xm: 645, a: 1.187589, r: 0.296000
Jun 06 11:58:48.360 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2494.773149ms, 60000.000000ms, Xm: 650, a: 1.196625, r: 0.297000
Jun 06 11:58:54.131 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2500.300290ms, 60000.000000ms, Xm: 650, a: 1.194660, r: 0.296000
Jun 06 11:58:56.959 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2491.944920ms, 60000.000000ms, Xm: 650, a: 1.197635, r: 0.298000
Jun 06 11:59:02.435 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2506.454516ms, 60000.000000ms, Xm: 650, a: 1.192484, r: 0.296000
Jun 06 11:59:19.488 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2498.164990ms, 60000.000000ms, Xm: 650, a: 1.195418, r: 0.296000
Jun 06 12:00:19.143 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2500.483965ms, 60000.000000ms, Xm: 650, a: 1.194594, r: 0.297000
Jun 06 12:02:26.774 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2499.306762ms, 60000.000000ms, Xm: 636, a: 1.176000, r: 0.294000
Jun 06 12:02:28.972 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2501.584013ms, 60000.000000ms, Xm: 636, a: 1.175218, r: 0.294000
