May 30 16:18:39.905 [info] circuit_build_times_set_timeout(): Circuit timeout data: 1429.522795ms, 60000.000000ms, Xm: 451, a: 1.395109, r: 0.219000
May 30 16:19:47.625 [info] circuit_build_times_set_timeout(): Circuit timeout data: 1501.708720ms, 60000.000000ms, Xm: 440, a: 1.311061, r: 0.225000
May 30 16:44:55.856 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2502.816509ms, 63906.623371ms, Xm: 439, a: 0.924607, r: 0.295000
May 30 17:39:14.898 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2499.311061ms, 60000.000000ms, Xm: 580, a: 1.101795, r: 0.281000
May 30 17:43:57.971 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2501.546585ms, 60000.000000ms, Xm: 591, a: 1.115459, r: 0.287000
May 30 17:46:00.999 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2476.227114ms, 60000.000000ms, Xm: 599, a: 1.134022, r: 0.287000
May 30 18:40:49.783 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2509.164753ms, 64371.530993ms, Xm: 439, a: 0.923263, r: 0.291000
May 30 18:40:50.266 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2496.141486ms, 62621.262974ms, Xm: 442, a: 0.929671, r: 0.292000
May 30 18:40:54.853 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2503.628060ms, 63160.176198ms, Xm: 442, a: 0.928065, r: 0.293000
May 30 18:45:28.361 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2496.135155ms, 61579.471907ms, Xm: 446, a: 0.934535, r: 0.298000
May 30 18:47:09.311 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2502.481870ms, 60000.000000ms, Xm: 457, a: 0.946531, r: 0.302000
May 30 18:47:10.105 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2496.569863ms, 60000.000000ms, Xm: 459, a: 0.950293, r: 0.303000
May 30 18:47:11.945 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2501.536491ms, 60000.000000ms, Xm: 459, a: 0.949179, r: 0.302000
May 30 18:48:02.963 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2486.474265ms, 60000.000000ms, Xm: 503, a: 1.007138, r: 0.307000
May 30 18:48:07.992 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2507.416210ms, 60000.000000ms, Xm: 500, a: 0.998163, r: 0.307000
May 30 19:04:19.957 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2497.771104ms, 60000.000000ms, Xm: 529, a: 1.036898, r: 0.308000
May 30 19:04:21.159 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2500.791117ms, 60000.000000ms, Xm: 529, a: 1.036092, r: 0.307000
May 30 19:04:25.283 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2498.017755ms, 60000.000000ms, Xm: 529, a: 1.036832, r: 0.307000
May 30 19:04:26.436 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2506.098676ms, 60000.000000ms, Xm: 529, a: 1.034680, r: 0.306000
May 30 19:04:27.648 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2499.803251ms, 60000.000000ms, Xm: 529, a: 1.036355, r: 0.306000
May 30 19:04:28.147 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2510.113230ms, 60000.000000ms, Xm: 529, a: 1.033616, r: 0.306000
May 30 19:05:42.208 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2492.381227ms, 60000.000000ms, Xm: 505, a: 1.008145, r: 0.304000
May 30 19:05:47.970 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2505.838350ms, 60000.000000ms, Xm: 505, a: 1.004756, r: 0.303000
May 30 19:05:49.365 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2498.830507ms, 60000.000000ms, Xm: 505, a: 1.006515, r: 0.304000
May 30 19:05:53.155 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2503.971027ms, 60000.000000ms, Xm: 505, a: 1.005223, r: 0.303000
May 30 19:05:56.925 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2499.136728ms, 60000.000000ms, Xm: 504, a: 1.005192, r: 0.301000
May 30 19:09:16.905 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2501.313864ms, 60000.000000ms, Xm: 467, a: 0.959002, r: 0.301000
May 30 19:09:18.156 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2487.516738ms, 60000.000000ms, Xm: 467, a: 0.962173, r: 0.301000
May 30 19:09:25.010 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2504.989141ms, 60000.000000ms, Xm: 467, a: 0.958164, r: 0.301000
May 30 19:09:39.799 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2497.231513ms, 60000.000000ms, Xm: 469, a: 0.962390, r: 0.303000
May 30 19:09:41.499 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2502.759085ms, 60000.000000ms, Xm: 472, a: 0.964792, r: 0.303000
May 30 19:11:27.884 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2499.305469ms, 60000.000000ms, Xm: 472, a: 0.965592, r: 0.303000
May 30 19:19:32.377 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2502.871799ms, 60524.000000ms, Xm: 424, a: 0.906490, r: 0.291000
May 30 19:19:32.424 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2498.217486ms, 60524.000000ms, Xm: 424, a: 0.907442, r: 0.292000
May 30 19:19:32.660 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2500.367189ms, 60524.000000ms, Xm: 425, a: 0.908208, r: 0.291000
May 30 19:19:32.748 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2492.730244ms, 60524.000000ms, Xm: 425, a: 0.909778, r: 0.291000
May 30 19:25:58.633 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2516.936651ms, 60524.000000ms, Xm: 373, a: 0.842982, r: 0.281000
May 30 19:28:19.861 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2458.045313ms, 60524.000000ms, Xm: 385, a: 0.868146, r: 0.288000
May 30 19:33:46.285 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2507.864253ms, 60524.000000ms, Xm: 358, a: 0.826772, r: 0.284000
May 30 19:34:08.392 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2482.707434ms, 60524.000000ms, Xm: 404, a: 0.886406, r: 0.293000
May 30 19:34:20.869 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2506.546750ms, 60524.000000ms, Xm: 401, a: 0.878179, r: 0.291000
