Jun 06 13:57:01.427 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2972.046292ms, 60000.000000ms, Xm: 681, a: 1.092297, r: 0.245000
Jun 06 13:57:36.992 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2971.536676ms, 60000.000000ms, Xm: 681, a: 1.092424, r: 0.245000
Jun 06 14:45:41.070 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3507.376164ms, 63690.000000ms, Xm: 726, a: 1.021818, r: 0.324000
Jun 06 14:48:20.092 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3499.889144ms, 63690.000000ms, Xm: 725, a: 1.022310, r: 0.330000
Jun 06 14:48:20.198 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3507.088303ms, 63690.000000ms, Xm: 725, a: 1.020977, r: 0.330000
Jun 06 14:48:35.943 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3498.733293ms, 63690.000000ms, Xm: 727, a: 1.024317, r: 0.330000
Jun 06 14:48:37.990 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3502.660155ms, 63690.000000ms, Xm: 727, a: 1.023587, r: 0.330000
Jun 06 16:36:33.664 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4519.371246ms, 114630.000000ms, Xm: 732, a: 0.884138, r: 0.344000
Jun 06 17:38:55.853 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4484.094471ms, 136019.588650ms, Xm: 717, a: 0.877931, r: 0.355000
