Jun 05 04:22:45.474 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4616.730864ms, 84078.563505ms, Xm: 971, a: 1.032276, r: 0.330000
Jun 05 04:33:08.020 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4293.187975ms, 60000.000000ms, Xm: 1221, a: 1.280014, r: 0.356000
Jun 05 04:33:39.072 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4592.042631ms, 92667.105397ms, Xm: 914, a: 0.997019, r: 0.323000
Jun 05 04:37:42.903 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4481.929074ms, 76654.497694ms, Xm: 975, a: 1.055112, r: 0.331000
Jun 05 05:39:49.207 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4650.243837ms, 60000.000000ms, Xm: 2328, a: 2.326079, r: 0.270000
Jun 05 05:40:25.286 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4381.926377ms, 60000.000000ms, Xm: 1696, a: 1.695545, r: 0.271845
Jun 05 05:40:42.341 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4547.867957ms, 60000.000000ms, Xm: 1412, a: 1.375998, r: 0.290909
Jun 05 05:47:03.339 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4495.716228ms, 60000.000000ms, Xm: 1188, a: 1.209327, r: 0.269565
Jun 05 05:47:06.915 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4507.434073ms, 60000.000000ms, Xm: 1169, a: 1.192548, r: 0.271552
Jun 05 05:48:26.312 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4494.481641ms, 60000.000000ms, Xm: 1169, a: 1.195096, r: 0.270386
Jun 05 05:48:32.593 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4509.016034ms, 60000.000000ms, Xm: 1150, a: 1.177939, r: 0.272340
Jun 05 05:53:45.557 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4498.916050ms, 65630.593972ms, Xm: 1066, a: 1.117725, r: 0.292763
Jun 05 05:55:18.357 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4556.610952ms, 80904.000000ms, Xm: 934, a: 1.015509, r: 0.286624
Jun 05 06:06:09.657 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4499.585331ms, 80904.000000ms, Xm: 721, a: 0.878945, r: 0.276650
Jun 05 07:12:16.253 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3495.457146ms, 60000.000000ms, Xm: 798, a: 1.089585, r: 0.298000
Jun 05 07:32:07.484 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3515.067198ms, 67072.043233ms, Xm: 721, a: 1.015947, r: 0.276000
Jun 05 07:32:26.700 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3411.269592ms, 60000.000000ms, Xm: 789, a: 1.099288, r: 0.280000
Jun 05 07:35:42.053 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3508.343988ms, 62604.819717ms, Xm: 746, a: 1.039572, r: 0.278000
Jun 05 07:35:47.173 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3497.729120ms, 62064.354085ms, Xm: 746, a: 1.041611, r: 0.277000
Jun 05 07:39:03.498 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3528.294906ms, 67972.160056ms, Xm: 720, a: 1.012659, r: 0.275000
Jun 05 07:39:26.328 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3499.817374ms, 66414.140062ms, Xm: 720, a: 1.017849, r: 0.272000
Jun 05 07:39:27.523 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3502.914042ms, 66582.422536ms, Xm: 720, a: 1.017280, r: 0.272000
Jun 05 07:46:52.866 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3479.846407ms, 60000.000000ms, Xm: 785, a: 1.080842, r: 0.276000
Jun 05 07:52:06.321 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3514.648722ms, 60000.000000ms, Xm: 790, a: 1.078233, r: 0.274000
Jun 05 07:53:20.167 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3477.418196ms, 60000.000000ms, Xm: 844, a: 1.136695, r: 0.279000
Jun 05 07:53:28.884 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3503.780451ms, 60000.000000ms, Xm: 825, a: 1.112863, r: 0.276000
Jun 05 07:53:28.910 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3490.969289ms, 60000.000000ms, Xm: 825, a: 1.115688, r: 0.277000
Jun 05 07:53:32.837 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3511.475530ms, 60000.000000ms, Xm: 821, a: 1.107461, r: 0.276000
Jun 05 07:53:33.646 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3497.073338ms, 60000.000000ms, Xm: 819, a: 1.108736, r: 0.274000
Jun 05 07:53:42.880 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3503.840532ms, 60000.000000ms, Xm: 819, a: 1.107261, r: 0.275000
Jun 05 07:53:42.973 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3455.987174ms, 60000.000000ms, Xm: 847, a: 1.144560, r: 0.279000
Jun 05 07:53:46.179 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3505.081725ms, 60000.000000ms, Xm: 809, a: 1.097716, r: 0.275000
Jun 05 08:04:56.360 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3496.078791ms, 60000.000000ms, Xm: 843, a: 1.131470, r: 0.276000
Jun 05 08:05:05.690 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3537.832748ms, 60000.000000ms, Xm: 807, a: 1.088969, r: 0.275000
Jun 05 08:05:18.650 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3485.551041ms, 60000.000000ms, Xm: 829, a: 1.120653, r: 0.279000
Jun 05 08:16:16.030 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3503.812858ms, 60000.000000ms, Xm: 876, a: 1.161009, r: 0.283000
Jun 05 08:16:22.608 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3499.703463ms, 60000.000000ms, Xm: 876, a: 1.161992, r: 0.283000
Jun 05 08:16:38.109 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3505.015261ms, 60000.000000ms, Xm: 876, a: 1.160721, r: 0.283000
Jun 05 08:16:44.732 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3496.750650ms, 60000.000000ms, Xm: 876, a: 1.162701, r: 0.282000
Jun 05 08:24:40.058 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3506.286401ms, 60000.000000ms, Xm: 883, a: 1.167116, r: 0.285000
Jun 05 08:24:42.851 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3499.752891ms, 60000.000000ms, Xm: 885, a: 1.170619, r: 0.284000
Jun 05 08:26:24.075 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3504.147764ms, 60000.000000ms, Xm: 896, a: 1.180146, r: 0.286000
Jun 05 08:39:07.390 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3447.040552ms, 60000.000000ms, Xm: 957, a: 1.255933, r: 0.296000
Jun 05 08:42:45.093 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3504.856955ms, 60000.000000ms, Xm: 923, a: 1.206226, r: 0.291000
