Jun 05 20:42:46.904 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3054.803298ms, 60000.000000ms, Xm: 734, a: 1.128669, r: 0.334000
Jun 05 21:12:33.971 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2498.337116ms, 60000.000000ms, Xm: 749, a: 1.336030, r: 0.292000
Jun 05 21:12:45.000 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2504.754386ms, 60000.000000ms, Xm: 755, a: 1.342061, r: 0.294000
Jun 05 21:12:46.171 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2494.824585ms, 60000.000000ms, Xm: 755, a: 1.346522, r: 0.294000
Jun 05 21:14:09.492 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2506.202304ms, 60000.000000ms, Xm: 755, a: 1.341415, r: 0.294000
Jun 05 21:14:23.710 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2498.982552ms, 60000.000000ms, Xm: 757, a: 1.347627, r: 0.292000
Jun 05 21:14:25.246 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2505.245107ms, 60000.000000ms, Xm: 757, a: 1.344808, r: 0.293000
Jun 05 21:15:05.555 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2497.195776ms, 60000.000000ms, Xm: 757, a: 1.348434, r: 0.292000
Jun 05 21:15:41.446 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2516.937667ms, 60000.000000ms, Xm: 744, a: 1.320557, r: 0.292000
Jun 05 21:15:45.930 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2499.797076ms, 60000.000000ms, Xm: 744, a: 1.328003, r: 0.290000
Jun 05 21:19:46.070 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2500.173324ms, 60000.000000ms, Xm: 715, a: 1.285665, r: 0.287000
Jun 05 21:20:01.563 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2497.625842ms, 60000.000000ms, Xm: 715, a: 1.286713, r: 0.287000
Jun 05 21:22:20.223 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2507.475494ms, 60000.000000ms, Xm: 775, a: 1.370704, r: 0.296000
Jun 05 21:22:36.800 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2498.708163ms, 60000.000000ms, Xm: 788, a: 1.394623, r: 0.296000
Jun 05 21:22:43.770 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2512.168539ms, 60000.000000ms, Xm: 788, a: 1.388160, r: 0.297000
Jun 05 22:08:34.850 [info] circuit_build_times_set_timeout(): Circuit timeout data: 3504.357953ms, 60000.000000ms, Xm: 846, a: 1.132416, r: 0.340000
Jun 05 22:59:35.212 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4503.575227ms, 86413.981035ms, Xm: 921, a: 1.014032, r: 0.364000
Jun 05 23:00:21.144 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4485.401697ms, 81586.773856ms, Xm: 944, a: 1.032712, r: 0.366000
Jun 05 23:00:22.225 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4546.752746ms, 93086.137168ms, Xm: 898, a: 0.992256, r: 0.365000
Jun 05 23:08:36.283 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4489.574192ms, 80371.993625ms, Xm: 953, a: 1.038415, r: 0.369000
Jun 05 23:08:40.394 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4503.938286ms, 81268.626889ms, Xm: 952, a: 1.035579, r: 0.370000
Jun 05 23:08:42.017 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4488.410520ms, 80469.498453ms, Xm: 952, a: 1.037886, r: 0.369000
Jun 05 23:08:44.386 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4500.043625ms, 81067.707444ms, Xm: 952, a: 1.036156, r: 0.370000
Jun 05 23:08:48.640 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4492.047062ms, 80656.190649ms, Xm: 952, a: 1.037344, r: 0.370000
Jun 05 23:08:48.732 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4508.927763ms, 82006.866433ms, Xm: 949, a: 1.032746, r: 0.371000
Jun 05 23:08:51.118 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4499.566343ms, 81520.626468ms, Xm: 949, a: 1.034125, r: 0.371000
Jun 05 23:08:58.706 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4509.952437ms, 84027.139998ms, Xm: 937, a: 1.024233, r: 0.370000
Jun 05 23:29:14.030 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4499.642346ms, 81524.566570ms, Xm: 949, a: 1.034114, r: 0.362000
Jun 05 23:29:14.127 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4500.011463ms, 81543.703788ms, Xm: 949, a: 1.034060, r: 0.362000
Jun 05 23:29:17.190 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4461.344091ms, 76232.522284ms, Xm: 971, a: 1.055453, r: 0.362000
Jun 05 23:33:16.798 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4516.426581ms, 78056.553119ms, Xm: 977, a: 1.051240, r: 0.366000
Jun 05 23:33:28.537 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4490.237890ms, 76186.821799ms, Xm: 981, a: 1.058083, r: 0.364000
Jun 05 23:33:47.510 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4500.249374ms, 76239.338515ms, Xm: 984, a: 1.058658, r: 0.367000
Jun 05 23:33:51.348 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4498.085770ms, 76134.505664ms, Xm: 984, a: 1.058993, r: 0.367000
Jun 05 23:33:52.216 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4502.390956ms, 76632.863357ms, Xm: 982, a: 1.056913, r: 0.366000
Jun 05 23:37:19.985 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4488.156720ms, 87505.484598ms, Xm: 910, a: 1.008576, r: 0.359000
Jun 05 23:38:23.229 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4503.115977ms, 89437.132366ms, Xm: 904, a: 1.002331, r: 0.359000
Jun 05 23:38:24.861 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4499.664501ms, 89980.801701ms, Xm: 900, a: 1.000046, r: 0.358000
Jun 05 23:38:33.020 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4502.829097ms, 90724.085960ms, Xm: 897, a: 0.997541, r: 0.358000
